patient_id,first_name,last_name,dob,email,phone,preferred_doctor,location,insurance_carrier,insurance_member_id,insurance_group_id,last_visit_date,is_returning
P001,Vihaan,Sharma,2002-05-08,vihaan.sharma@example.com,9117550026,Dr. Priya Rao,Koramangala,Niva Bupa,PQK51FPKH1,DNMMJB,2024-01-26,Y
P002,Myra,Iyer,1962-07-03,myra.iyer@inbox.com,9268310679,Dr. Meera Shah,Koramangala,Blue Cross,4FMYZYCWTI,QJ7YHL,2023-10-26,Y
P003,Vivaan,Mehta,2007-01-26,vivaan.mehta@mail.com,9409572486,Dr. Meera Shah,Indiranagar,Cigna,T0PVN9ER14,FFYVNV,2024-01-10,Y
P004,Myra,Iyer,1971-09-28,myra.iyer@example.com,9618773210,Dr. Priya Rao,Whitefield,United Healthcare,1SDW4SHNF8,77VREN,,N
P005,Kabir,Mehta,1958-04-19,kabir.mehta@example.com,9040771452,Dr. Priya Rao,Indiranagar,Cigna,1YZOYN6QIC,ATVAZC,,N
P006,Aditya,Sharma,2010-06-03,aditya.sharma@inbox.com,9262195478,Dr. Meera Shah,Koramangala,Aetna,MO5BXXC02D,GTFGQ5,,N
P007,Aditya,Nair,2006-09-04,aditya.nair@example.com,9650072448,Dr. Meera Shah,Koramangala,Blue Cross,J2QP89UZFK,8UT0CV,2024-07-03,Y
P008,Anika,Iyer,1965-01-17,anika.iyer@example.com,9800849550,Dr. Meera Shah,Indiranagar,Niva Bupa,LJYLJEXQ77,AWUDTS,2024-02-18,Y
P009,Arjun,Gupta,1959-04-12,arjun.gupta@mail.com,9187696082,Dr. Priya Rao,Koramangala,Cigna,0FKHMY4SJ6,BW3BME,2025-04-19,Y
P010,Ishaan,Patel,2002-08-18,ishaan.patel@inbox.com,9400895851,Dr. Meera Shah,Koramangala,United Healthcare,6HID25OWF7,5935A0,2025-06-27,Y
P011,Anaya,Kapoor,1981-11-28,anaya.kapoor@inbox.com,9827188284,Dr. Arjun Patel,Koramangala,Cigna,OKC1MSY4LA,5JU9BV,2025-01-21,Y
P012,Aadhya,Khan,2005-06-14,aadhya.khan@inbox.com,9918104586,Dr. Priya Rao,Whitefield,Niva Bupa,CXLL4ZKLOO,KEP7Y6,2024-05-22,Y
